name,total_projects,success_rate
Employee_82,2,100.0
Employee_90,2,100.0
Employee_43,2,100.0
Employee_68,1,100.0
Employee_75,1,100.0
Employee_74,1,100.0
Employee_11,1,100.0
Employee_92,1,100.0
Employee_14,1,100.0
Employee_61,1,100.0
Employee_8,1,100.0
Employee_44,1,100.0
Employee_71,1,100.0
Employee_34,1,100.0
Employee_51,1,100.0
Employee_93,1,100.0
Employee_27,1,100.0
Employee_3,1,100.0
Employee_70,1,100.0
Employee_57,1,100.0
Employee_83,1,100.0
Employee_7,1,100.0
Employee_15,1,100.0
Employee_96,1,100.0
Employee_85,3,66.67
Employee_81,3,66.67
Employee_6,3,66.67
Employee_39,3,66.67
Employee_21,3,66.67
Employee_5,2,50.0
Employee_47,2,50.0
Employee_65,2,50.0
Employee_30,2,50.0
Employee_63,2,50.0
Employee_26,2,50.0
Employee_50,2,50.0
Employee_17,2,50.0
Employee_48,2,50.0
Employee_49,2,50.0
Employee_89,2,50.0
Employee_72,3,33.33
Employee_12,3,33.33
Employee_77,3,33.33
Employee_87,3,33.33
Employee_46,3,33.33
Employee_33,3,33.33
Employee_20,3,33.33
Employee_80,3,33.33
Employee_88,3,33.33
Employee_1,3,33.33
Employee_86,3,33.33
Employee_45,3,33.33
Employee_97,3,33.33
Employee_13,3,33.33
Employee_55,3,33.33
Employee_36,3,33.33
Employee_62,3,0.0
Employee_35,3,0.0
Employee_4,3,0.0
Employee_76,3,0.0
Employee_10,2,0.0
Employee_41,2,0.0
Employee_2,2,0.0
Employee_78,2,0.0
Employee_22,2,0.0
Employee_24,2,0.0
Employee_84,2,0.0
Employee_66,2,0.0
Employee_59,2,0.0
Employee_31,2,0.0
Employee_52,2,0.0
Employee_56,2,0.0
Employee_100,2,0.0
Employee_23,2,0.0
Employee_60,2,0.0
Employee_37,2,0.0
Employee_18,2,0.0
Employee_73,2,0.0
Employee_53,2,0.0
Employee_40,1,0.0
Employee_9,1,0.0
Employee_95,1,0.0
Employee_64,1,0.0
Employee_99,1,0.0
Employee_32,1,0.0
Employee_94,1,0.0
Employee_91,1,0.0
Employee_29,1,0.0
Employee_19,1,0.0
Employee_42,1,0.0
Employee_25,1,0.0
Employee_69,1,0.0
Employee_54,1,0.0
Employee_98,1,0.0
Employee_28,1,0.0
Employee_38,1,0.0
Employee_67,1,0.0
Employee_58,1,0.0
Employee_79,1,0.0
Employee_16,1,0.0
